"PTor-timestamp","PTor-servo1","PTor-servo4","PTor-servo5","PTor-servo2","PTor-servo3","PTor-servo6","DTor-timestamp","DTor-servo1","DTor-servo4","DTor-servo5","DTor-servo2","DTor-servo3","DTor-servo6",,"PTal-timestamp","PTal-servo1","PTal-servo4","PTal-servo5","PTal-servo2","PTal-servo3","PTal-servo6","DTal-timestamp","DTal-servo1","DTal-servo4","DTal-servo5","DTal-servo2","DTal-servo3","DTal-servo6","operationApplied",
"2100","90.0","172.0","90.0","90.0","180.0","10.0","2100","90.0","172.0","90.0","90.0","180.0","10.0"," ","2200","90.0","172.0","90.0","90.0","180.0","10.0","1800","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2200","90.0","172.0","90.0","90.0","180.0","10.0","2200","90.0","172.0","90.0","90.0","180.0","10.0"," ","2300","90.0","172.0","90.0","90.0","180.0","10.0","1900","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2300","90.0","172.0","90.0","90.0","180.0","10.0","2300","90.0","172.0","90.0","90.0","180.0","10.0"," ","2400","90.0","172.0","90.0","90.0","180.0","10.0","2000","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2400","90.0","172.0","90.0","90.0","180.0","10.0","2400","90.0","172.0","90.0","90.0","180.0","10.0"," ","2500","90.0","172.0","90.0","90.0","180.0","10.0","2100","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2500","90.0","172.0","90.0","90.0","180.0","10.0","2500","90.0","172.0","90.0","90.0","180.0","10.0"," ","2600","90.0","172.0","90.0","90.0","180.0","10.0","2200","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2600","90.0","172.0","90.0","90.0","180.0","10.0","2600","90.0","172.0","90.0","90.0","180.0","10.0"," ","2700","90.0","172.0","90.0","90.0","180.0","10.0","2300","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2700","90.0","172.0","90.0","90.0","180.0","10.0","2700","90.0","172.0","90.0","90.0","180.0","10.0"," ","2800","90.0","172.0","90.0","90.0","180.0","10.0","2400","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2800","90.0","172.0","90.0","90.0","180.0","10.0","2800","90.0","172.0","90.0","90.0","180.0","10.0"," ","2900","90.0","172.0","90.0","90.0","180.0","10.0","2500","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"2900","90.0","172.0","90.0","90.0","180.0","10.0","2900","90.0","172.0","90.0","90.0","180.0","10.0"," ","3000","90.0","172.0","90.0","90.0","180.0","10.0","2600","90.0","172.0","90.0","90.0","180.0","10.0","Match"
"3000","90.0","172.0","90.0","90.0","180.0","10.0","3000","90.0","172.0","90.0","90.0","180.0","10.0"," ","3100","90.0","172.0","90.0","90.0","180.0","10.0","2700","90.0","172.0","90.0","90.0","180.0","10.0","Match"
