"PTor-timestamp","PTor-servo1","PTor-servo4","PTor-servo5","PTor-servo2","PTor-servo3","PTor-servo6","DTor-timestamp","DTor-servo1","DTor-servo4","DTor-servo5","DTor-servo2","DTor-servo3","DTor-servo6",,"PTal-timestamp","PTal-servo1","PTal-servo4","PTal-servo5","PTal-servo2","PTal-servo3","PTal-servo6","DTal-timestamp","DTal-servo1","DTal-servo4","DTal-servo5","DTal-servo2","DTal-servo3","DTal-servo6","operationApplied",
"-1","180.0","180.0","180.0","165.0","180.0","73.0","-1","180.0","180.0","180.0","165.0","180.0","73.0"," ","0","","","","","","","-","-","-","-","-","-","-","Deletion"
"0","","","","","","","0","","","","","",""," ","100","","","","","","","-","-","-","-","-","-","-","Deletion"
"100","","","","","","","100","","","","","",""," ","200","","","","","","","-","-","-","-","-","-","-","Deletion"
"200","","","","","","","200","","","","","",""," ","300","","","","","","","0","","","","","","","Match"
"300","","","","","","","300","","","","","",""," ","400","","","","","","","100","","","","","","","Match"
"400","","","","","","","400","","","","","",""," ","500","","","","","","","200","","","","","","","Match"
"500","","","","","","","500","","","","","",""," ","600","","","","","","","300","","","","","","","Match"
"600","","","","","","","600","","","","","",""," ","700","","","","","","","400","","","","","","","Match"
"700","","","","","","","700","","","","","",""," ","800","","","","","","","500","","","","","","","Match"
"800","","","","","","","800","","","","","",""," ","900","","","","","","","600","","","","","","","Match"
"900","","","","","","","900","","","","","",""," ","1000","","","","","","","700","","","","","","","Match"
"1000","","","","","","","1000","","","","","",""," ","1100","","","","","","","800","","","","","","","Match"
"1100","","","","","","","1100","","","","","",""," ","1200","","","","","","","900","","","","","","","Match"
"1200","","","","","","","1200","","","","","",""," ","1300","","","","","","","1000","","","","","","","Match"
"1300","","","","","","","1300","","","","","",""," ","1400","","","","","","","1100","","","","","","","Match"
"1400","","","","","","","1400","","","","","",""," ","1500","","","","","","","1200","","","","","","","Match"
"1500","","","","","","","1500","","","","","",""," ","1600","","","","","","","1300","","","","","","","Match"
"1600","","","","","","","1600","","","","","",""," ","1700","","","","","","","1400","","","","","","","Match"
"1700","","","","","","","1700","","","","","",""," ","1800","","","","","","","1500","","","","","","","Match"
"1800","","","","","","","1800","","","","","",""," ","1900","","","","","","","1600","","","","","","","Match"
