accel(m/s2),position(m),speed(m/s),timestamp(s)
0.05;0.05;0.05;0.1
0.0,0.0,0.0,63028.438
0.05;0.05;0.05;0.1
-0.01471499999999947,-0.002043755776385635,-0.0014256990131837274,63028.536
0.0,-0.004178127940939172,-0.0014091609755086704,63028.635
-0.00981000000000001,-0.006358936744600957,-0.0023638129377828673,63028.734
-0.00490499999999946,-0.008610219140192625,-0.0028328699001174645,63028.833
0.0,-0.010883901222555385,-0.0028163318624424075,63028.932
0.0,-0.013155946039188286,-0.0027997938247673504,63029.031
0.0,-0.015426353589924457,-0.002783255787093509,63029.13
0.00490499999999946,-0.0176486531936069,-0.0022861948002769823,63029.228
-0.00490499999999946,-0.019892251393418676,-0.0027552517625771063,63029.327
0.0,-0.02215824928016479,-0.0027387137249020492,63029.426
0.00490499999999946,-0.02437618376158931,-0.0022416527381224263,63029.524
-0.00981000000000001,-0.026639409249915317,-0.003196304700466785,63029.623
-0.00981000000000001,-0.028997145282515298,-0.004150956662811143,63029.722
-0.00981000000000001,-0.03144939185938927,-0.005105608625155501,63029.821
0.0,-0.03394807507535166,-0.00508907058748166,63029.92
-0.00490499999999946,-0.0364434521493028,-0.005553389600683659,63030.018
0.0,-0.038986465682027,-0.005536851563008602,63030.117
0.0,-0.04155351241627604,-0.005520146474448515,63030.217
0.0,-0.0440675811173367,-0.005503775487658488,63030.315
-0.00490499999999946,-0.04662971980518219,-0.005972832449958612,63030.414
-0.01471499999999947,-0.04928636903748833,-0.0074130794123126245,63030.513
0.0,-0.051985945166269476,-0.0073967084255238125,63030.611
0.0,-0.054683916938545664,-0.007380337438733785,63030.709
-0.00490499999999946,-0.057431835259537684,-0.007849394401033908,63030.808
0.0,-0.06023013627778948,-0.007832689312472605,63030.908
0.00490499999999946,-0.06294728036678643,-0.007335628325692983,63031.006
0.0,-0.06566673553329008,-0.007319090288017926,63031.105
-0.00981000000000001,-0.06840420834788874,-0.008264099301210843,63031.203
-0.00490499999999946,-0.07126850485595333,-0.008737894212643564,63031.303
-0.00490499999999946,-0.0741508212977688,-0.00920695117497816,63031.402
-0.00490499999999946,-0.07704975066928693,-0.009671270188180158,63031.5
-0.00490499999999946,-0.07999418330409801,-0.010135589201382156,63031.598
0.0,-0.08299083459730043,-0.0101190511637071,63031.697
0.0,-0.08598584862477299,-0.010102513126032043,63031.796
-0.00981000000000001,-0.08899609687749184,-0.011047522139224959,63031.894
-0.01471499999999947,-0.09218778566935236,-0.012502317050643405,63031.994
0.0,-0.09538610708668047,-0.012485946063854593,63032.092
0.0,-0.09861544370927229,-0.012469408026179537,63032.191
0.0,-0.10184314306613426,-0.01245286998850448,63032.29
-0.00490499999999946,-0.10509324210976734,-0.012921926950839076,63032.389
0.0,-0.10833268529731384,-0.012905555964050264,63032.487
0.00490499999999946,-0.11154697031815594,-0.012408494977270644,63032.585
-0.00490499999999946,-0.11482570639382048,-0.012882289888703366,63032.685
-0.00490499999999946,-0.11825236325027567,-0.013370298647499407,63032.788
-0.00490499999999946,-0.12138943896454535,-0.013810927915141836,63032.881
0.0,-0.1253609505768047,-0.013791382961526523,63032.998
-0.00490499999999946,-0.1281249663272987,-0.014175156839784615,63033.079
-0.00490499999999946,-0.1315455717692119,-0.014644213802119213,63033.178
0.00980999999999892,-0.1349405029928943,-0.013656485764424848,63033.277
0.0,-0.13828572304559905,-0.013639947726751006,63033.376
0.0,-0.1415955322694293,-0.01362357673996098,63033.474
0.0,-0.1449374943287123,-0.013607038702287138,63033.573
-0.00490499999999946,-0.14830185607501215,-0.014076095664621735,63033.672
0.00980999999999892,-0.15164054360308118,-0.01308836762692737,63033.771
0.0,-0.154896297976884,-0.013071996640138557,63033.869
-0.00490499999999946,-0.15820769055903008,-0.013541053602473156,63033.968
0.00490499999999946,-0.1615174458754463,-0.013038920564788444,63034.067
0.0,-0.1647683544371596,-0.013022549577999632,63034.165
0.0,-0.16805081480765285,-0.013006011540324575,63034.264
0.0,-0.17133163791217515,-0.012989473502650733,63034.363
-0.00490499999999946,-0.17463486070370976,-0.013458530464985331,63034.462
-0.00490499999999946,-0.17795044484564065,-0.01392284947818733,63034.56
-0.00490499999999946,-0.18138061637164601,-0.014396644389654524,63034.66
-0.00490499999999946,-0.18482314908074202,-0.014865701351954646,63034.759
-0.00490499999999946,-0.18827663596985147,-0.015330020365191117,63034.857
-0.00490499999999946,-0.19181157290052064,-0.01579907732749124,63034.956
-0.00981000000000001,-0.19538008444497187,-0.016744086340684156,63035.054
-0.00490499999999946,-0.19905501390747926,-0.017213143303018753,63035.153
0.0,-0.2027523430567577,-0.017196605265343695,63035.252
-0.00981000000000001,-0.2064961088453082,-0.018151257227688053,63035.351
-0.00490499999999946,-0.21031034822534964,-0.018620314189988177,63035.45
-0.00490499999999946,-0.21417102424494178,-0.019089371152322773,63035.549
-0.00490499999999946,-0.2180384307742213,-0.019553690165524773,63035.647
0.0,-0.22196747406289247,-0.019537152127849716,63035.746
0.0,-0.22593455085360523,-0.01952044703928963,63035.846
0.0,-0.22982064901009613,-0.0195040760524996,63035.944
0.0,-0.23378441819327395,-0.019487370963939515,63036.044
0.00490499999999946,-0.23760457833498355,-0.018995382028028078,63036.141
-0.00490499999999946,-0.24146277393008236,-0.019459701041230078,63036.239
-0.00490499999999946,-0.2454466306121326,-0.0199334959526628,63036.339
0.00490499999999946,-0.24938923772123023,-0.019431362914978087,63036.438
-0.00490499999999946,-0.2533302075643066,-0.01990041987727821,63036.537
0.0,-0.25737364516577266,-0.01988354773783188,63036.638
-0.00490499999999946,-0.2612378951033787,-0.020338390852803156,63036.734
-0.00490499999999946,-0.26551449461243903,-0.02083587550982992,63036.839
-0.00490499999999946,-0.26934586897491114,-0.02127650477747235,63036.932
0.00490499999999946,-0.2739530383173723,-0.02070843507827982,63037.044
-0.00981000000000001,-0.2775017320709923,-0.021537728702076403,63037.13
0.0,-0.2825022934089333,-0.02151768259580357,63037.25
0.00490499999999946,-0.2856536264455218,-0.021132206728493037,63037.326
-0.00490499999999946,-0.2906826980214978,-0.02170549857133111,63037.447
