accel(m/s2),position(m),speed(m/s),timestamp(s)
0.05;0.05;0.05;0.1
-0.00490499999999946,0.0,0.0,56685.801
0.05;0.05;0.05;0.1
-0.00490499999999946,-0.002667239021070948,5.309854806847424e-05,56685.884
-0.00981000000000001,-0.005871309556776264,-0.00036916203918267135,56685.983
-0.00490499999999946,-0.00919152883881637,-0.00030390840179698097,56686.085
0.0,-0.012286161875036025,0.00022838678631871947,56686.181
0.0,-0.015424804970152297,0.0007773161990869896,56686.28
-0.00490499999999946,-0.01853314100590438,0.0008406506118456055,56686.379
0.0,-0.021611169982292282,0.0013895800246138752,56686.478
-0.00490499999999946,-0.024627866484328496,0.00145227469582703,56686.576
-0.00981000000000001,-0.027693418581402948,0.0010300141085758854,56686.675
-0.01471499999999947,-0.030824811428881615,0.00012215852138180733,56686.774
-0.00490499999999946,-0.03399800807472781,0.00018549293414042364,56686.873
-0.00490499999999946,-0.03716493461371078,0.0002488273468990391,56686.972
-0.00490499999999946,-0.040325591045830514,0.0003121617596576554,56687.071
0.0,-0.04342432072783133,0.000855546430861622,56687.169
-0.00490499999999946,-0.04652491197040793,0.0009188808436155823,56687.268
0.0,-0.049595196153850454,0.0014678102563838516,56687.367
0.00490499999999946,-0.05258709937292686,0.0025023346691617765,56687.466
0.00490499999999946,-0.05547658467513621,0.0035368590819396997,56687.565
-0.00490499999999946,-0.0582828478295585,0.0035995537531528553,56687.663
0.0,-0.061937714354111544,0.00431482541220476,56687.792
0.0,-0.06384328921566677,0.004697412578649051,56687.861
-0.00490499999999946,-0.06656353570983446,0.004760746991407667,56687.96
0.0,-0.06925347514463795,0.005309676404175938,56688.059
-0.00490499999999946,-0.0718860022014844,0.005372371075389093,56688.157
0.0,-0.07451539085197252,0.005921300488157363,56688.256
0.00490499999999946,-0.07709192104241164,0.006966274642442402,56688.356
-0.01471499999999947,-0.0796356240972612,0.006058419055181603,56688.455
-0.00490499999999946,-0.08219477437431048,0.006121113726394756,56688.553
-0.00490499999999946,-0.08477407445484852,0.0061844481391533715,56688.652
-0.00490499999999946,-0.08734710442833248,0.006247782551907334,56688.751
0.0,-0.08991551141258325,0.006802256706239908,56688.851
-0.00490499999999946,-0.092709442188133,0.00687262827597067,56688.961
-0.00490499999999946,-0.09488267415208088,0.0069276460486662195,56689.047
-0.00490499999999946,-0.09830293882110744,0.007014011156972998,56689.182
0.00490499999999946,-0.09986302884651936,0.007672344874202226,56689.245
0.00490499999999946,-0.10224068313824651,0.008706869286904116,56689.344
-0.00981000000000001,-0.10458803037078997,0.008284608699652972,56689.443
0.01471500000000056,-0.10703404942854919,0.010452401044827468,56689.55
0.01471500000000056,-0.10892775204373265,0.012296037525247869,56689.641
0.0,-0.11102878423450155,0.012889324870328855,56689.748
-0.00490499999999946,-0.11276247696160847,0.012946901609201596,56689.838
0.0,-0.1153064603665925,0.013689896975953991,56689.972
-0.00490499999999946,-0.11648399095325024,0.013730840434705249,56690.036
0.00490499999999946,-0.11826185418464856,0.014765364847483173,56690.135
0.00490499999999946,-0.11993729949905846,0.015799889260185065,56690.234
0.00490499999999946,-0.12149467807615122,0.01682396393145587,56690.332
-0.00981000000000001,-0.12303843293875101,0.01640170334423576,56690.431
-0.04806900000000015,-0.1248114798291109,0.012191801756908885,56690.53
-0.1294919999999999,-0.12736782537537958,4.497042835405543e-05,56690.628
-0.27762299999999995,-0.13194462857218336,-0.027162855418929342,56690.728
-0.31588200000000005,-0.13934298438607778,-0.05788624400452823,56690.827
-0.4787279999999996,-0.1504440096897679,-0.10425820333587539,56690.925
-0.6082200000000005,-0.16730143142741,-0.16512840443708537,56691.026
-0.6660989999999997,-0.18981194399617066,-0.2298627217694469,56691.124
-0.7377120000000005,-0.21901030528746035,-0.3016151130968689,56691.222
-0.7563509999999996,-0.2557379529472577,-0.3759449326855974,56691.321
-0.6710040000000002,-0.3003559641398623,-0.4431563177865004,56691.422
-0.7092630000000003,-0.34923271237985365,-0.5107132705967746,56691.518
-0.6896430000000003,-0.4063341750785424,-0.5784389981853713,56691.617
-0.6847379999999997,-0.47079495013538364,-0.6463583240300826,56691.717
-0.6847379999999997,-0.5405554993048729,-0.712919263362545,56691.815
-0.7141679999999998,-0.617795540044344,-0.7830729659460341,56691.914
-0.5317020000000002,-0.7010866227126177,-0.8351625345343181,56692.013
-0.5120820000000003,-0.7885208903937785,-0.8848031858621603,56692.111
-0.36395100000000025,-0.8848751774162178,-0.9217190304842324,56692.214
-0.32078699999999954,-0.976919562628193,-0.9516670450380141,56692.309
-0.2060100000000002,-1.1105713726621136,-0.9785293896708899,56692.443
-0.057879000000000166,-1.1753594283446627,-0.9818787822120585,56692.507
-0.01471499999999947,-1.2757987920300646,-0.9827866377993193,56692.606
0.023543999999999586,-1.3751281457790183,-0.9799359411281592,56692.704
-0.043163999999999605,-1.4755145825216163,-0.9836602477154763,56692.803
0.00980999999999892,-1.5770247425309794,-0.9821247735611984,56692.903
-0.06670800000000028,-1.6767226236885822,-0.9881187728898702,56693.001
-0.028449000000000134,-1.7778470499181027,-0.9903862944771582,56693.1
0.03335400000000068,-1.8799120946036276,-0.9864964203229145,56693.2
-0.023543999999999586,-1.9788103998066675,-0.9882423483932714,56693.297
-0.01471499999999947,-2.077836524002034,-0.9891318634636144,56693.394
0.00490499999999946,-2.1809389413534794,-0.9880764395677463,56693.495
0.00980999999999892,-2.2808526463437264,-0.9865716748965606,56693.593
0.057879000000000166,-2.381400859507889,-0.9802927244836778,56693.692
-0.01962000000000002,-2.480693083279907,-0.9816720998124372,56693.79
-0.01962000000000002,-2.581136022360247,-0.9830655503997078,56693.889
-0.00490499999999946,-2.6816448021838384,-0.9830022159869539,56693.988
0.048068999999999064,-2.7808775135525345,-0.9777480693154493,56694.086
-0.03335399999999959,-2.8809992770732973,-0.9805011859025446,56694.185
-0.01962000000000002,-2.981326295676556,-0.9818946364898152,56694.284
0.07161300000000083,-3.0813441785714386,-0.9742560200769051,56694.383
-0.06670800000000028,-3.190401509854357,-0.9808616519902716,56694.491
0.09123300000000084,-3.281183431595336,-0.9721516552517392,56694.581
-0.023543999999999586,-3.3796966736306375,-0.9739155825804914,56694.679
0.023543999999999586,-3.4791601923229916,-0.9710357971676765,56694.778
-0.023543999999999586,-3.57856936700348,-0.9728177237549549,56694.877
-0.01471499999999947,-3.6771054868940976,-0.9737164090837234,56694.975
-0.01471499999999947,-3.786808561856597,-0.9747159672555726,56695.084
0.01471500000000056,-3.8763419390477543,-0.9729128502582465,56695.173
-0.0765180000000003,-4.007618327489747,-0.9821393738574702,56695.303
-0.00981000000000001,-4.076597851594065,-0.9824294114325429,56695.371
0.028448999999999048,-4.176880202390288,-0.9790640310197185,56695.47
-0.043163999999999605,-4.276165072490835,-0.9827507183484341,56695.568
0.00490499999999946,-4.413102522730485,-0.9813400032401074,56695.703
0.00980999999999892,-4.476919181692311,-0.9803726545228688,56695.766
-0.03825900000000015,-4.576308743086165,-0.9835786518515937,56695.864
-0.00490499999999946,-4.676868319960883,-0.983515317438835,56695.963
-0.028449000000000134,-4.796889147933871,-0.9862180199366447,56696.081
0.00490499999999946,-4.878325441722013,-0.9853820406131861,56696.161
0.00980999999999892,-5.020653248742277,-0.9832323767971749,56696.301
-0.057879000000000166,-5.079630126510517,-0.9862677637875374,56696.359
0.057879000000000166,-5.180148252474886,-0.9799888133746546,56696.458
-0.07161299999999975,-5.2806793378943935,-0.9865295709620282,56696.557
0.043163999999999605,-5.401570624570393,-0.9807332307184704,56696.676
-0.06670800000000028,-5.480761426790444,-0.9855039648781981,56696.754
0.10104299999999977,-5.6222122198078175,-0.9705816810622396,56696.894
0.0,-5.680358004745473,-0.9702600860527607,56696.952
0.00490499999999946,-5.779550969701078,-0.9692255616399829,56697.051
-0.00981000000000001,-5.878713627597318,-0.9696478222272339,56697.15
-0.028449000000000134,-5.977005047806223,-0.971892439555977,56697.248
-0.01962000000000002,-6.076479800521154,-0.9732858901432476,56697.347
0.01962000000000002,-6.175900209224221,-0.9707945807304406,56697.446
-0.03335399999999959,-6.274327565576436,-0.9735198880591744,56697.544
0.01962000000000002,-6.373771140065877,-0.9710285786465503,56697.643
0.01471500000000056,-6.473993608175652,-0.969002604492132,56697.743
0.00980999999999892,-6.572038077328524,-0.9674978398209464,56697.841
0.00980999999999892,-6.679919272167797,-0.9658395277342994,56697.949
-0.01962000000000002,-6.769798157375756,-0.96710630099538,56698.039
0.03825900000000015,-6.895373264764501,-0.9615870295607931,56698.165
-0.03335399999999959,-6.966993077833284,-0.9635892961697001,56698.237
0.08632799999999921,-7.064139603334582,-0.9545857674986571,56698.335
0.00980999999999892,-7.161756773800799,-0.9530656480858695,56698.434
0.22464899999999924,-7.263943133734654,-0.9288953052247921,56698.539
0.25407900000000033,-7.35220129475831,-0.9047502972610965,56698.632
0.40711500000000095,-7.4625595495082235,-0.8548184685347293,56698.753
0.455184,-7.528638002507519,-0.819803084177032,56698.829
0.565056000000001,-7.610986216163355,-0.7627430100235619,56698.929
0.7180919999999994,-7.6854160749000915,-0.6918266093484304,56699.027
0.6513840000000002,-7.756507930028508,-0.6241629489724454,56699.13
0.7377119999999994,-7.815508010758899,-0.5535535585249949,56699.225
0.7141679999999998,-7.882617678130428,-0.464309178571191,56699.349
0.6798329999999992,-7.917031858360827,-0.41427660344082573,56699.422
0.7141679999999998,-7.95770671520511,-0.34302504202664413,56699.521
0.7092630000000003,-7.991351704421749,-0.27225907561247215,56699.62
0.6710040000000002,-8.017940254157834,-0.20595729894251802,56699.718
0.584676000000001,-8.038805789291118,-0.1469352247890765,56699.818
0.46008899999999947,-8.057326096543953,-0.08966227457947695,56699.941
0.325691999999999,-8.065432317243962,-0.0651507557051213,56700.015
0.27762299999999995,-8.073683003934306,-0.03711714929180358,56700.114
0.11477700000000043,-8.079956390412706,-0.025205296878808126,56700.213
0.048068999999999064,-8.085429760339803,-0.01984392272458592,56700.313
-0.01962000000000002,-8.090544312816286,-0.021209222794936755,56700.41
-0.01962000000000002,-8.098232237027549,-0.0231938342373168,56700.551
0.048068999999999064,-8.101296313075009,-0.02013785096932824,56700.608
-0.03825900000000015,-8.106638701937483,-0.023376562556635685,56700.707
0.00490499999999946,-8.112090198064697,-0.022342038143933804,56700.806
0.00980999999999892,-8.117361931717598,-0.02083727347263649,56700.904
0.01962000000000002,-8.122489927368019,-0.018345964060012487,56701.003
-0.01471499999999947,-8.12753954205446,-0.019253819647273296,56701.102
-0.028449000000000134,-8.132746337911046,-0.021521341234561342,56701.201
0.03335400000000068,-8.137874752803267,-0.017670365821726985,56701.3
-0.00981000000000001,-8.142833446311249,-0.0180926264089471,56701.399
0.00490499999999946,-8.147761832760231,-0.017058101996169195,56701.498
-0.043163999999999605,-8.155263910544273,-0.022475275213985457,56701.642
0.023543999999999586,-8.158114420759432,-0.02093357191220971,56701.695
0.00490499999999946,-8.166197532612541,-0.0193243117145636,56701.849
0.0,-8.168452803832983,-0.01908034308670245,56701.893
-0.00490499999999946,-8.176988409372845,-0.018974145990560853,56702.059
-0.01471499999999947,-8.178573565879997,-0.01925842400268557,56702.09
0.0,-8.188043767013436,-0.018232646817202575,56702.275
0.01962000000000002,-8.188744147242158,-0.017880340435711864,56702.289
-0.03825900000000015,-8.194508995215875,-0.021511623124583268,56702.4
0.00490499999999946,-8.199086995420153,-0.020612945351930076,56702.486
-0.00490499999999946,-8.209212521442248,-0.020490754717212442,56702.677
0.03335400000000068,-8.209526456712593,-0.020257362268189902,56702.683
-0.03335399999999959,-8.217216691416995,-0.024178467710717064,56702.824
0.048068999999999064,-8.220336891572439,-0.02112248444272849,56702.881
0.1628459999999995,-8.226794828927723,0.006156815686669426,56703.043
0.23445900000000033,-8.227553349075004,0.014556946641512747,56703.078
0.19129500000000071,-8.227284436242353,0.053137535983208195,56703.274
0.09123300000000084,-8.227263184942181,0.053234313725122995,56703.275
0.0,-8.225132938808994,0.05378878787941521,56703.375
-0.00490499999999946,-8.222907693026325,0.05385468125834637,56703.478
