"DTor-timestamp","DTor-acceleration","PTor-timestamp","PTor-acceleration",,"DTal-timestamp","DTal-acceleration","PTal-timestamp","PTal-acceleration","operationApplied",
"6.8","0.0","6.723","0.004905"," ","6.8","0.0","-","-","Deletion"
"6.9","0.0","6.862","0.023544"," ","6.9","0.0","-","-","Deletion"
"7.0","0.0","6.921","0.038259"," ","7.0","0.0","-","-","Deletion"
"7.1","0.0","7.02","-0.01962"," ","7.1","0.0","-","-","Deletion"
"7.2","0.0","7.118","0.076518"," ","7.2","0.0","-","-","Deletion"
"7.3","0.0","7.218","-0.004905"," ","7.3","0.0","-","-","Deletion"
"7.4","0.0","7.317","0.0"," ","7.4","0.0","-","-","Deletion"
"7.5","0.0","7.415","-0.043164"," ","7.5","0.0","-","-","Deletion"
"7.6","0.0","7.519","0.071613"," ","7.6","0.0","-","-","Deletion"
"7.7","0.0","7.613","-0.057879"," ","7.7","0.0","-","-","Deletion"
"7.8","0.0","7.711","0.066708"," ","7.8","0.0","-","-","Deletion"
"7.9","0.0","7.811","0.0"," ","7.9","0.0","-","-","Deletion"
"8.0","0.0","7.909","-0.004905"," ","8.0","0.0","-","-","Deletion"
"8.1","0.0","8.008","0.023544"," ","8.1","0.0","-","-","Deletion"
"8.2","0.0","8.123","-0.004905"," ","8.2","0.0","-","-","Deletion"
"8.3","0.0","8.206","0.00981"," ","8.3","0.0","-","-","Deletion"
"8.4","0.0","8.305","-0.028449"," ","8.4","0.0","-","-","Deletion"
"8.5","0.0","8.404","0.00981"," ","8.5","0.0","-","-","Deletion"
"8.6","0.0","8.51","-0.004905"," ","8.6","0.0","-","-","Deletion"
"8.7","0.0","8.602","0.004905"," ","8.7","0.0","-","-","Deletion"
"8.8","0.0","8.745","-0.061803"," ","8.8","0.0","-","-","Deletion"
"8.9","0.0","8.799","0.043164"," ","8.9","0.0","-","-","Deletion"
"9.0","0.0","8.917","-0.043164"," ","9.0","0.0","-","-","Deletion"
"9.1","0.0","8.997","0.052974"," ","9.1","0.0","-","-","Deletion"
"9.2","0.0","9.096","-0.071613"," ","9.2","0.0","-","-","Deletion"
"9.3","0.0","9.195","0.066708"," ","9.3","0.0","-","-","Deletion"
"9.4","0.0","9.3","-0.091233"," ","9.4","0.0","-","-","Deletion"
"9.5","0.0","9.393","0.01962"," ","9.5","0.0","-","-","Deletion"
"9.6","0.0","9.517","-0.048069"," ","9.6","0.0","-","-","Deletion"
"9.7","0.0","9.591","0.014715"," ","9.7","0.0","-","-","Deletion"
"9.8","0.0","9.69","-0.004905"," ","9.8","0.0","-","-","Deletion"
"9.9","0.0","9.789","-0.043164"," ","9.9","0.0","-","-","Deletion"
"10.0","0.0","9.887","0.01962"," ","10.0","0.0","-","-","Deletion"
"10.1","0.0","9.986","-0.01962"," ","10.1","0.0","-","-","Deletion"
"10.2","0.0","10.127","0.023544"," ","10.2","0.0","-","-","Deletion"
"10.3","0.0","10.184","-0.086328"," ","10.3","0.0","-","-","Deletion"
"10.4","0.0","10.283","0.052974"," ","10.4","0.0","-","-","Deletion"
"10.5","0.0","10.382","-0.00981"," ","10.5","0.0","-","-","Deletion"
"10.6","0.0","10.481","0.023544"," ","10.6","0.0","-","-","Deletion"
"10.7","0.0","10.579","-0.038259"," ","10.7","0.0","-","-","Deletion"
"10.8","0.0","10.716","-0.01962"," ","10.8","0.0","-","-","Deletion"
"10.9","0.0","10.777","-0.048069"," ","10.9","0.0","-","-","Deletion"
"11.0","0.0","10.875","0.076518"," ","11.0","0.0","-","-","Deletion"
"11.1","0.0","10.975","-0.038259"," ","11.1","0.0","-","-","Deletion"
"11.2","0.0","11.074","0.004905"," ","11.2","0.0","-","-","Deletion"
"11.3","0.0","11.173","-0.038259"," ","11.3","0.0","-","-","Deletion"
"11.4","0.0","11.272","0.023544"," ","11.4","0.0","-","-","Deletion"
