time;gFx;gFy;gFz;TgF
0.236973;-0.0076;-0.0112;1.0083;1.008
0.239479;-0.0088;-0.0120;1.0068;1.007
0.242890;-0.0103;-0.0125;1.0080;1.008
0.243738;-0.0098;-0.0127;1.0080;1.008
0.245307;-0.0093;-0.0125;1.0090;1.009
0.247923;-0.0088;-0.0115;1.0090;1.009
0.249171;-0.0093;-0.0105;1.0095;1.010
0.251246;-0.0105;-0.0107;1.0100;1.010
0.253170;-0.0103;-0.0112;1.0102;1.010
0.255098;-0.0117;-0.0093;1.0110;1.011
0.257947;-0.0098;-0.0095;1.0093;1.009
0.260121;-0.0086;-0.0120;1.0093;1.009
0.261426;-0.0090;-0.0125;1.0093;1.009
0.263349;-0.0088;-0.0122;1.0088;1.009
0.265106;-0.0090;-0.0127;1.0083;1.008
0.267002;-0.0088;-0.0117;1.0078;1.008
0.268916;-0.0090;-0.0122;1.0080;1.008
0.271061;-0.0098;-0.0125;1.0085;1.009
0.273779;-0.0103;-0.0120;1.0080;1.008
0.275132;-0.0105;-0.0120;1.0080;1.008
0.277005;-0.0112;-0.0129;1.0078;1.008
0.279380;-0.0095;-0.0120;1.0066;1.007
0.281512;-0.0100;-0.0120;1.0073;1.007
0.283100;-0.0098;-0.0117;1.0083;1.008
0.285051;-0.0105;-0.0120;1.0088;1.009
0.286911;-0.0105;-0.0117;1.0093;1.009
0.289184;-0.0107;-0.0115;1.0080;1.008
0.291244;-0.0095;-0.0117;1.0080;1.008
0.293212;-0.0100;-0.0117;1.0080;1.008
0.295230;-0.0110;-0.0127;1.0083;1.008
0.297713;-0.0105;-0.0120;1.0093;1.009
0.299675;-0.0105;-0.0129;1.0107;1.011
0.301721;-0.0100;-0.0122;1.0100;1.010
0.303210;-0.0095;-0.0120;1.0090;1.009
0.305175;-0.0095;-0.0125;1.0083;1.008
0.307456;-0.0100;-0.0125;1.0088;1.009
0.309423;-0.0098;-0.0127;1.0100;1.010
0.311394;-0.0090;-0.0117;1.0090;1.009
0.313357;-0.0093;-0.0127;1.0088;1.009
0.315245;-0.0093;-0.0125;1.0078;1.008
0.317039;-0.0105;-0.0120;1.0080;1.008
0.319019;-0.0112;-0.0122;1.0090;1.009
0.321172;-0.0117;-0.0110;1.0102;1.010
0.326617;-0.0112;-0.0117;1.0112;1.011
0.327155;-0.0115;-0.0115;1.0097;1.010
0.327501;-0.0090;-0.0110;1.0100;1.010
0.329568;-0.0088;-0.0110;1.0100;1.010
0.331650;-0.0088;-0.0110;1.0071;1.007
0.333032;-0.0086;-0.0107;1.0078;1.008
0.335184;-0.0073;-0.0110;1.0085;1.009
0.336993;-0.0093;-0.0115;1.0097;1.010
0.339195;-0.0098;-0.0112;1.0073;1.007
0.341154;-0.0093;-0.0100;1.0066;1.007
0.343361;-0.0098;-0.0115;1.0085;1.009
0.345696;-0.0103;-0.0107;1.0078;1.008
0.347777;-0.0098;-0.0103;1.0083;1.008
0.349058;-0.0078;-0.0110;1.0080;1.008
0.350879;-0.0088;-0.0117;1.0083;1.008
0.353111;-0.0083;-0.0105;1.0078;1.008
0.355435;-0.0081;-0.0112;1.0071;1.007
0.357394;-0.0071;-0.0120;1.0071;1.007
0.359400;-0.0081;-0.0120;1.0083;1.008
0.361540;-0.0103;-0.0115;1.0090;1.009
0.363748;-0.0112;-0.0103;1.0090;1.009
0.365374;-0.0083;-0.0105;1.0105;1.011
0.367092;-0.0081;-0.0100;1.0105;1.011
0.369080;-0.0088;-0.0105;1.0097;1.010
0.371119;-0.0086;-0.0117;1.0097;1.010
0.374035;-0.0090;-0.0112;1.0097;1.010
0.375260;-0.0093;-0.0103;1.0102;1.010
0.377349;-0.0090;-0.0112;1.0095;1.010
0.379539;-0.0090;-0.0112;1.0093;1.009
0.381260;-0.0095;-0.0115;1.0090;1.009
0.383084;-0.0095;-0.0107;1.0080;1.008
0.385013;-0.0100;-0.0115;1.0075;1.008
0.386953;-0.0098;-0.0100;1.0083;1.008
0.389276;-0.0105;-0.0098;1.0083;1.008
0.391843;-0.0107;-0.0110;1.0083;1.008
0.393169;-0.0103;-0.0115;1.0090;1.009
0.395700;-0.0105;-0.0112;1.0095;1.010
0.397444;-0.0105;-0.0103;1.0088;1.009
0.399573;-0.0098;-0.0105;1.0073;1.007
0.401695;-0.0095;-0.0110;1.0068;1.007
0.403156;-0.0103;-0.0120;1.0090;1.009
0.405943;-0.0112;-0.0132;1.0085;1.009
0.408229;-0.0103;-0.0127;1.0085;1.009
0.409402;-0.0100;-0.0127;1.0085;1.009
0.411381;-0.0103;-0.0132;1.0078;1.008
0.413152;-0.0090;-0.0132;1.0090;1.009
0.415764;-0.0081;-0.0134;1.0095;1.010
0.417294;-0.0086;-0.0129;1.0090;1.009
0.419279;-0.0076;-0.0112;1.0085;1.009
0.421416;-0.0078;-0.0122;1.0080;1.008
0.423888;-0.0095;-0.0125;1.0083;1.008
0.425730;-0.0105;-0.0110;1.0105;1.011
0.427534;-0.0105;-0.0127;1.0095;1.010
0.429318;-0.0112;-0.0117;1.0093;1.009
0.431433;-0.0110;-0.0110;1.0083;1.008
0.433265;-0.0100;-0.0115;1.0085;1.009
0.435263;-0.0088;-0.0110;1.0085;1.009
0.437120;-0.0105;-0.0122;1.0100;1.010
0.439308;-0.0098;-0.0117;1.0100;1.010
0.442422;-0.0095;-0.0090;1.0078;1.008
0.443186;-0.0083;-0.0105;1.0078;1.008
0.445398;-0.0088;-0.0115;1.0085;1.009
0.447382;-0.0103;-0.0122;1.0088;1.009
0.449493;-0.0098;-0.0107;1.0080;1.008
0.451409;-0.0103;-0.0100;1.0083;1.008
0.453507;-0.0093;-0.0107;1.0088;1.009
0.455489;-0.0086;-0.0107;1.0080;1.008
0.457752;-0.0083;-0.0107;1.0085;1.009
0.459383;-0.0083;-0.0120;1.0100;1.010
0.461640;-0.0086;-0.0129;1.0110;1.011
0.463618;-0.0095;-0.0122;1.0107;1.011
0.465721;-0.0098;-0.0115;1.0090;1.009
0.467406;-0.0093;-0.0120;1.0093;1.009
0.469195;-0.0098;-0.0110;1.0093;1.009
0.471125;-0.0100;-0.0103;1.0102;1.010
0.474071;-0.0110;-0.0107;1.0090;1.009
0.475550;-0.0120;-0.0107;1.0073;1.007
0.477324;-0.0117;-0.0098;1.0075;1.008
0.479215;-0.0095;-0.0100;1.0078;1.008
0.481589;-0.0088;-0.0107;1.0100;1.010
0.483714;-0.0083;-0.0112;1.0097;1.010
0.485591;-0.0095;-0.0110;1.0085;1.009
0.487980;-0.0100;-0.0115;1.0075;1.008
0.489686;-0.0095;-0.0120;1.0088;1.009
0.493543;-0.0107;-0.0112;1.0102;1.010
0.495938;-0.0112;-0.0110;1.0095;1.010
0.497681;-0.0103;-0.0105;1.0095;1.010
0.499493;-0.0088;-0.0115;1.0090;1.009
0.500650;-0.0088;-0.0112;1.0088;1.009
0.502045;-0.0095;-0.0112;1.0071;1.007
0.503615;-0.0093;-0.0110;1.0085;1.009
0.505414;-0.0088;-0.0105;1.0090;1.009
0.509513;-0.0093;-0.0122;1.0100;1.010
0.511913;-0.0083;-0.0112;1.0107;1.011
0.514047;-0.0076;-0.0110;1.0105;1.011
0.515799;-0.0088;-0.0110;1.0088;1.009
0.517455;-0.0100;-0.0112;1.0100;1.010
0.518669;-0.0098;-0.0115;1.0093;1.009
0.519797;-0.0095;-0.0120;1.0083;1.008
0.521347;-0.0090;-0.0117;1.0085;1.009
0.524659;-0.0100;-0.0125;1.0097;1.010
0.525800;-0.0110;-0.0117;1.0115;1.012
0.527707;-0.0103;-0.0112;1.0112;1.011
0.529717;-0.0095;-0.0129;1.0095;1.010
0.531507;-0.0093;-0.0122;1.0088;1.009
0.533249;-0.0095;-0.0117;1.0085;1.009
0.535351;-0.0105;-0.0120;1.0085;1.009
0.537252;-0.0095;-0.0110;1.0088;1.009
0.539262;-0.0090;-0.0105;1.0095;1.010
0.542685;-0.0088;-0.0107;1.0097;1.010
0.543489;-0.0088;-0.0115;1.0102;1.010
0.545185;-0.0090;-0.0120;1.0102;1.010
0.549205;-0.0112;-0.0100;1.0097;1.010
0.549589;-0.0112;-0.0112;1.0095;1.010
0.552116;-0.0100;-0.0115;1.0102;1.010
0.553397;-0.0081;-0.0122;1.0090;1.009
0.559978;-0.0088;-0.0125;1.0093;1.009
0.560598;-0.0093;-0.0117;1.0095;1.010
0.560986;-0.0100;-0.0115;1.0090;1.009
0.561774;-0.0095;-0.0115;1.0093;1.009
0.563219;-0.0088;-0.0117;1.0100;1.010
0.565216;-0.0093;-0.0117;1.0093;1.009
0.567215;-0.0095;-0.0115;1.0078;1.008
0.569372;-0.0083;-0.0117;1.0097;1.010
0.571640;-0.0081;-0.0122;1.0110;1.011
0.574058;-0.0083;-0.0115;1.0112;1.011
0.575545;-0.0086;-0.0093;1.0097;1.010
0.577582;-0.0078;-0.0090;1.0097;1.010
0.579913;-0.0078;-0.0103;1.0088;1.009
0.581954;-0.0083;-0.0105;1.0090;1.009
0.583839;-0.0078;-0.0105;1.0085;1.009
0.585897;-0.0093;-0.0100;1.0090;1.009
0.587575;-0.0093;-0.0098;1.0080;1.008
0.589524;-0.0078;-0.0112;1.0090;1.009
0.592918;-0.0086;-0.0107;1.0097;1.010
0.595320;-0.0098;-0.0115;1.0105;1.011
0.596707;-0.0098;-0.0107;1.0090;1.009
0.597645;-0.0088;-0.0110;1.0095;1.010
0.599510;-0.0098;-0.0117;1.0088;1.009
0.601237;-0.0093;-0.0117;1.0088;1.009
0.603307;-0.0088;-0.0112;1.0095;1.010
0.606052;-0.0098;-0.0105;1.0093;1.009
0.607599;-0.0083;-0.0107;1.0090;1.009
0.610342;-0.0083;-0.0112;1.0095;1.010
0.611946;-0.0088;-0.0115;1.0107;1.011
0.613477;-0.0090;-0.0129;1.0117;1.012
0.615397;-0.0090;-0.0122;1.0110;1.011
0.617518;-0.0098;-0.0107;1.0083;1.008
0.619451;-0.0105;-0.0115;1.0085;1.009
0.621440;-0.0098;-0.0107;1.0085;1.009
0.623201;-0.0105;-0.0095;1.0085;1.009
0.626146;-0.0105;-0.0098;1.0090;1.009
0.628804;-0.0093;-0.0110;1.0080;1.008
0.629385;-0.0100;-0.0115;1.0075;1.008
0.632571;-0.0100;-0.0122;1.0088;1.009
0.633154;-0.0076;-0.0120;1.0107;1.011
0.635811;-0.0093;-0.0100;1.0095;1.010
0.638386;-0.0095;-0.0110;1.0093;1.009
0.639974;-0.0100;-0.0122;1.0088;1.009
0.643469;-0.0100;-0.0117;1.0090;1.009
0.644102;-0.0100;-0.0112;1.0085;1.009
0.645111;-0.0093;-0.0117;1.0085;1.009
0.647289;-0.0098;-0.0117;1.0093;1.009
0.649119;-0.0100;-0.0120;1.0097;1.010
0.651410;-0.0090;-0.0127;1.0110;1.011
0.653220;-0.0088;-0.0127;1.0100;1.010
