timestamp,acceleration
0.1,0.05
0,0
0.099,0.004905
0.199,0.00981
0.297,-0.023544
0.397,-0.014715
0.494,-0.004905
0.593,0
0.692,-0.00981
0.791,0.023544
0.89,-0.014715
0.988,0.004905
1.088,0.014715
1.188,0
1.285,0.014715
1.388,0.00981
1.483,0
1.594,-0.004905
1.681,0.00981
1.796,-0.004905
1.878,0.004905
2.015,0.004905
2.076,0.004905
2.175,-0.004905
2.274,-0.004905
2.373,-0.004905
2.471,-0.057879
2.607,-0.143226
2.669,-0.325692
2.769,-0.426735
2.867,-0.483633
2.966,-0.579771
3.065,-0.732807
3.164,-0.756351
3.262,-0.747522
3.362,-0.709263
3.46,-0.722997
3.559,-0.699453
3.658,-0.689643
3.757,-0.671004
3.856,-0.671004
3.955,-0.531702
4.054,-0.473823
4.153,-0.335502
4.266,-0.258984
4.352,-0.119682
4.456,-0.076518
4.548,0.014715
4.647,0
4.745,0.038259
4.844,0
4.943,0.00981
5.057,-0.033354
5.141,-0.004905
5.259,0.038259
5.339,-0.00981
5.438,-0.043164
5.537,-0.048069
5.635,-0.00981
5.735,-0.004905
5.834,-0.033354
5.932,-0.028449
6.03,0.004905
6.13,-0.043164
6.256,-0.028449
6.327,-0.00981
6.426,-0.01962
6.525,-0.014715
6.645,0.01962
6.723,0.004905
6.862,0.023544
6.921,0.038259
7.02,-0.01962
7.118,0.076518
7.218,-0.004905
7.317,0
7.415,-0.043164
7.519,0.071613
7.613,-0.057879
7.711,0.066708
7.811,0
7.909,-0.004905
8.008,0.023544
8.123,-0.004905
8.206,0.00981
8.305,-0.028449
8.404,0.00981
8.51,-0.004905
8.602,0.004905
8.745,-0.061803
8.799,0.043164
8.917,-0.043164
8.997,0.052974
9.096,-0.071613
9.195,0.066708
9.3,-0.091233
9.393,0.01962
9.517,-0.048069
9.591,0.014715
9.69,-0.004905
9.789,-0.043164
9.887,0.01962
9.986,-0.01962
10.127,0.023544
10.184,-0.086328
10.283,0.052974
10.382,-0.00981
10.481,0.023544
10.579,-0.038259
10.716,-0.01962
10.777,-0.048069
10.875,0.076518
10.975,-0.038259
11.074,0.004905
11.173,-0.038259
11.272,0.023544
11.37,-0.01962
11.47,-0.028449
11.568,-0.052974
11.667,-0.01962
11.766,0.057879
11.865,-0.096138
11.972,0.071613
12.064,-0.091233
12.189,0.101043
12.26,-0.091233
12.36,0.038259
12.458,-0.043164
12.563,0.061803
12.656,-0.052974
12.777,0.014715
12.853,-0.038259
12.952,-0.023544
13.051,-0.028449
13.15,-0.004905
13.248,-0.028449
13.373,0.014715
13.446,-0.048069
13.545,0.028449
13.643,0.00981
13.772,-0.038259
13.841,0.01962
13.94,-0.038259
14.039,0.086328
14.161,-0.057879
14.237,0.061803
14.336,-0.028449
14.434,0.038259
14.534,-0.043164
14.633,0.033354
14.731,-0.043164
14.831,-0.048069
14.929,0.023544
15.031,-0.01962
15.126,0.014715
15.225,-0.057879
15.324,0.043164
15.423,-0.014715
15.522,0.033354
15.622,-0.096138
15.72,0.066708
15.839,-0.043164
15.918,0.033354
16.017,-0.071613
16.116,0.028449
16.223,-0.014715
16.313,-0.004905
16.445,0
16.511,-0.048069
16.61,0.038259
16.709,-0.096138
16.808,0.066708
16.906,-0.071613
17.005,0.052974
17.104,-0.038259
17.203,0.066708
17.302,-0.048069
17.401,0.028449
17.499,-0.048069
17.599,0.057879
17.698,-0.096138
17.796,0.086328
17.897,-0.048069
17.994,-0.043164
18.093,-0.004905
18.192,0.01962
18.29,-0.004905
18.39,0.057879
18.488,0.210915
18.587,0.282528
18.686,0.498348
18.786,0.445374
18.883,0.661194
18.983,0.756351
19.082,0.656289
19.18,0.756351
19.279,0.671004
19.378,0.694548
19.477,0.661194
19.575,0.704358
19.675,0.61803
19.774,0.531702
19.873,0.445374
19.972,0.320787
20.07,0.229554
20.17,0.124587
20.275,0.014715
20.367,-0.00981
20.473,-0.00981
20.565,0.033354
20.673,-0.014715
20.763,-0.01962
20.874,-0.004905
20.961,0.033354
21.08,-0.014715
21.158,-0.01962
21.257,0.004905
21.356,0.038259
21.455,0.01962
21.554,-0.038259
21.652,-0.014715
21.752,0.023544
21.89,0.014715
21.949,-0.01962
22.048,-0.023544
22.147,0.028449
22.246,0.01962
22.345,-0.00981
22.444,-0.028449
22.543,0
22.641,0.033354
22.74,-0.01962
22.839,-0.028449
22.945,0.061803
23.036,0.177561
23.135,0.234459
23.235,0.20601
23.336,0.048069
23.432,0.033354
23.552,-0.01962
23.629,0.028449
23.729,-0.004905
23.828,0.004905
23.926,0
24.026,0.004905
24.139,-0.014715
24.223,0.00981
24.362,0
24.421,0.004905
24.52,-0.014715
24.619,0
24.718,0.004905
24.816,0
24.95,-0.004905
25.015,0.00981
25.114,0.014715
25.212,0
25.312,-0.00981
25.41,0.00981
25.509,-0.014715
25.608,0.01962
25.707,-0.023544
25.806,-0.01962
25.904,-0.028449
26.003,-0.014715
26.102,-0.004905
26.2,-0.033354
26.3,0
26.41,-0.014715
26.498,-0.033354
26.597,-0.004905
26.695,0.00981
26.794,0.014715
26.892,0.004905
27.01,0.01962
27.091,-0.014715
27.19,-0.028449
27.289,-0.00981
27.388,0.004905
27.486,0.00981
27.6,0
27.683,0.00981
27.809,-0.014715
27.881,0.004905
27.98,-0.014715
28.079,0.00981
28.182,-0.004905
28.276,0.004905
28.399,0.004905
28.474,-0.004905
28.573,-0.00981
28.671,-0.00981
28.77,0
28.869,-0.00981
28.993,0
29.067,-0.004905
29.166,-0.004905
29.264,-0.004905
29.364,-0.004905
29.463,-0.004905
29.561,-0.004905
29.66,0
29.76,-0.004905
29.868,-0.014715
29.958,-0.004905
30.056,0
30.154,0
30.254,-0.004905
30.352,0
30.457,0
30.55,-0.004905
30.65,-0.00981
30.749,0
30.847,-0.004905
30.946,0.00981
31.049,-0.004905
31.144,0
31.268,-0.004905
31.342,-0.00981
31.44,0
31.539,0
31.641,-0.00981
31.736,-0.004905
31.857,0.01962
31.934,0.033354
32.034,0.004905
32.132,-0.00981
32.231,0.023544
32.33,-0.004905
32.447,-0.01962
32.528,0.00981
32.668,0.004905
32.726,-0.014715
32.825,-0.004905
32.923,-0.01962
33.022,-0.004905
33.121,-0.014715
33.255,0.004905
33.319,-0.014715
33.419,-0.00981
33.516,-0.00981
33.615,-0.004905
33.714,-0.023544
33.813,0.004905
33.912,0.00981
34.011,-0.00981
34.129,0.00981
34.208,0.014715
34.307,-0.00981
34.406,-0.01962
34.513,-0.023544
34.603,-0.023544
34.729,0.01962
34.801,0
34.9,-0.00981
34.999,-0.014715
35.117,-0.028449
35.196,-0.00981
35.334,0.01962
35.394,0
35.497,0
35.592,-0.004905
35.722,0
35.79,-0.00981
35.889,-0.004905
35.988,-0.004905
36.102,-0.004905
36.185,-0.004905
36.323,-0.004905
36.383,0.00981
36.481,-0.00981
36.581,-0.014715
36.679,-0.004905
36.778,0.00981
36.877,0
36.975,-0.00981
37.075,-0.004905
37.173,0.00981
37.273,-0.014715
37.371,0.00981
37.47,-0.00981
37.569,-0.00981
37.668,-0.014715
37.766,-0.004905
37.866,-0.004905
37.964,0.00981
38.063,0.004905
38.176,-0.014715
38.261,0
38.396,-0.004905
